instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,38,33809.0,33808.97631999997,33808.97631999997,33808.97631999997,-7.004052183597634e-5,58,59,288.43548642,0.22974001,248.44152702,537.10675345
LR1_DR02_VC01_V6a,120,39,33809.0,33808.946319999974,33808.946319999974,33808.946319999974,-0.00015877429094726577,58,59,297.696635161,0.420586034,262.700657769,560.817878964
LR1_DR02_VC01_V6a,120,40,33809.0,33808.95631999997,33808.95631999997,33808.95631999997,-0.00012919636792451647,58,58,289.251028638,0.185765969,236.205738352,525.6425329589999
LR1_DR02_VC01_V6a,120,41,33809.0,33808.95631999997,33808.95631999997,33808.946319999974,-0.00015877429094726577,58,59,297.141676368,0.234406477,236.750575386,534.126658231
LR1_DR02_VC01_V6a,120,42,33809.0,33808.96631999997,33808.96631999997,33808.96631999997,-9.96184448802464e-5,58,59,275.86805063,0.202068618,276.364889464,552.435008712
LR1_DR02_VC01_V6a,120,43,33809.0,33808.95631999996,33808.94631999997,33808.94631999997,-0.00015877429096878654,58,59,293.092975283,0.409193508,231.588165189,525.09033398
LR1_DR02_VC01_V6a,120,44,33809.0,33808.96631999997,33808.96631999997,33808.96631999997,-9.96184448802464e-5,58,59,309.178315712,0.274930908,266.047983445,575.5012300650001
LR1_DR02_VC01_V6a,120,45,33809.0,33808.946319999974,33808.946319999974,33808.946319999974,-0.00015877429094726577,58,59,314.176370483,0.391184511,270.595852141,585.163407135
LR1_DR02_VC01_V6a,120,46,33809.0,33808.96631999997,33808.96631999997,33808.946319999974,-0.00015877429094726577,58,58,288.2798446,0.807512105,257.804644698,546.892001403
LR1_DR02_VC01_V6a,120,47,33809.0,33808.96631999997,33808.96631999997,33808.946319999974,-0.00015877429094726577,58,59,313.992717892,0.187046717,261.406985246,575.5867498549999
LR1_DR02_VC01_V6a,120,48,33809.0,33808.96631999997,33808.96631999997,33808.946319999974,-0.00015877429094726577,58,58,284.741789413,0.283244856,247.952170494,532.977204763
LR1_DR02_VC01_V6a,120,49,33809.0,33808.96631999997,33808.946319999974,33808.946319999974,-0.00015877429094726577,58,59,303.037966444,0.592136929,264.062274778,567.692378151
LR1_DR02_VC01_V6a,120,50,33809.0,33808.946319999974,33808.946319999974,33808.946319999974,-0.00015877429094726577,58,59,289.590807038,0.17817384,252.806190758,542.575171636
LR1_DR02_VC01_V6a,120,51,33809.0,33808.95631999997,33808.95631999997,33808.95631999997,-0.00012919636792451647,58,59,308.856444436,0.215335685,234.810851559,543.88263168
LR1_DR02_VC01_V6a,120,52,33809.0,33808.96631999997,33808.96631999997,33808.946319999974,-0.00015877429094726577,58,59,304.58387576,0.186504312,259.960726947,564.7311070190001
LR1_DR02_VC01_V6a,120,53,33809.0,33808.96631999997,33808.96631999997,33808.946319999974,-0.00015877429094726577,58,59,285.674714942,0.3408402,272.775829072,558.791384214
LR1_DR02_VC01_V6a,120,54,33809.0,33808.96631999997,33808.946319999974,33808.946319999974,-0.00015877429094726577,58,59,301.153614479,0.325387452,237.753215167,539.232217098
LR1_DR02_VC01_V6a,120,55,33809.0,33808.95631999997,33808.95631999997,33808.946319999974,-0.00015877429094726577,58,59,291.720133008,0.137450538,250.706111185,542.5636947309999
LR1_DR02_VC01_V6a,120,56,33809.0,33808.946319999974,33808.946319999974,33808.946319999974,-0.00015877429094726577,58,58,290.709344557,0.870277394,259.691175727,551.270797678
LR1_DR02_VC01_V6a,120,57,33809.0,33808.96631999997,33808.96631999997,33808.946319999974,-0.00015877429094726577,58,58,279.323156366,0.886887281,282.962487851,563.1725314979999
LR1_DR02_VC01_V6a,120,58,33809.0,33808.946319999974,33808.946319999974,33808.946319999974,-0.00015877429094726577,58,58,301.453784212,0.175501873,249.795787566,551.425073651
LR1_DR02_VC01_V6a,120,59,33809.0,33808.96631999997,33808.96631999997,33808.946319999974,-0.00015877429094726577,58,59,294.051899838,0.276750173,254.478119649,548.80676966
LR1_DR02_VC01_V6a,120,60,33809.0,33808.96631999997,33808.96631999997,33808.96631999997,-9.96184448802464e-5,58,59,274.370279588,0.495750384,236.317683266,511.183713238
LR1_DR02_VC02_V6a,120,1,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,70,425.185744437,1.065898357,311.021835295,737.273478089
LR1_DR02_VC02_V6a,120,2,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,69,441.992436451,0.335749193,351.925204257,794.253389901
LR1_DR02_VC02_V6a,120,3,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,70,447.59355331,0.217899722,344.271494017,792.082947049
LR1_DR02_VC02_V6a,120,4,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,70,439.809266413,0.291201477,332.283257877,772.383725767
LR1_DR02_VC02_V6a,120,5,74982.0,78052.07825,78052.07825,78052.07825,4.0944203275452855,65,70,443.951316295,0.424082458,364.348845226,808.724243979
LR1_DR02_VC02_V6a,120,6,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,70,445.797218342,0.306625331,358.832020846,804.935864519
LR1_DR02_VC02_V6a,120,7,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,70,429.788208723,0.284223991,345.429099143,775.5015318569999
LR1_DR02_VC02_V6a,120,8,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,70,424.515709628,0.33726156,352.861676679,777.714647867
LR1_DR02_VC02_V6a,120,9,74982.0,81812.35722,81812.35722,81812.35722,9.10932919900777,65,71,441.969813151,1.03380199,355.652892508,798.6565076489999
